geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
PERI_InvPla_87	36.454444	36.454444	-94.021474	-94.021474
PERI_InvPla_88	36.457021	36.457021	-94.018351	-94.018351
PERI_InvPla_89	36.459597	36.459597	-94.015229	-94.015229
PERI_InvPla_90	36.462174	36.462174	-94.012105	-94.012105
PERI_InvPla_91	36.46475	36.46475	-94.008982	-94.008982
PERI_InvPla_94	36.439905	36.439905	-94.033799	-94.033799
PERI_InvPla_95	36.441837	36.441837	-94.030839	-94.030839
PERI_InvPla_108	36.449399	36.449399	-94.015096	-94.015096
PERI_InvPla_109	36.451976	36.451976	-94.011973	-94.011973
PERI_InvPla_110	36.454552	36.454552	-94.00885	-94.00885
PERI_InvPla_111	36.457128	36.457128	-94.005727	-94.005727
PERI_InvPla_112	36.459704	36.459704	-94.002604	-94.002604
PERI_InvPla_113	36.462255	36.462255	-94.000496	-94.000496
PERI_InvPla_119	36.457214	36.457214	-94.000518	-94.000518
PERI_InvPla_16	36.461846	36.461846	-94.04998	-94.04998
PERI_InvPla_17	36.464424	36.464424	-94.046859	-94.046859
PERI_InvPla_18	36.466995	36.466995	-94.043736	-94.043736
ARPO_InvPla_134	33.982907	33.982907	-91.260363	-91.260363
ARPO_InvPla_149	33.981279	33.981279	-91.260418	-91.260418
ARPO_InvPla_26	34.025312	34.025312	-91.344739	-91.344739
ARPO_InvPla_27	34.025299	34.025299	-91.343765	-91.343765
ARPO_InvPla_54	34.022146	34.022146	-91.350647	-91.350647
ARPO_InvPla_63	34.021348	34.021348	-91.351637	-91.351637
ARPO_InvPla_6	34.026913	34.026913	-91.343734	-91.343734
ARPO_InvPla_70	34.021256	34.021256	-91.344818	-91.344818
ARPO_InvPla_73	34.02055	34.02055	-91.352627	-91.352627
ARPO_InvPla_74	34.020537	34.020537	-91.351652	-91.351652
ARPO_InvPla_79	34.020471	34.020471	-91.346782	-91.346782
ARPO_InvPla_81	34.020455	34.020455	-91.344848	-91.344848
ARPO_InvPla_41	34.023917	34.023917	-91.348659	-91.348659
ARPO_InvPla_75	34.020524	34.020524	-91.350678	-91.350678
ARPO_InvPla_61	34.022292	34.022292	-91.343575	-91.343575
ARPO_InvPla_29	34.025272	34.025272	-91.341817	-91.341817
ARPO_InvPla_64	34.021335	34.021335	-91.350663	-91.350663
ARPO_InvPla_65	34.021322	34.021322	-91.349689	-91.349689
ARPO_InvPla_34	34.024514	34.024514	-91.345729	-91.345729
ARPO_InvPla_32	34.02454	34.02454	-91.347671	-91.347671
ARPO_InvPla_91	34.018897	34.018897	-91.350636	-91.350636
ARPO_InvPla_163	33.979739	33.979739	-91.266281	-91.266281
ARPO_InvPla_72	34.020071	34.020071	-91.353419	-91.353419
ARPO_InvPla_11	34.025788	34.025788	-91.349428	-91.349428
ARPO_InvPla_162	33.979782	33.979782	-91.267253	-91.267253
ARPO_InvPla_71	34.021208	34.021208	-91.344068	-91.344068
ARPO_InvPla_105	34.015566	34.015566	-91.348013	-91.348013
ARPO_InvPla_102	34.017391	34.017391	-91.350845	-91.350845
ARPO_InvPla_90	34.019306	34.019306	-91.345025	-91.345025
ARPO_InvPla_153	33.980443	33.980443	-91.26737	-91.26737
ARPO_InvPla_85	34.019701	34.019701	-91.349711	-91.349711
ARPO_InvPla_101	34.017934	34.017934	-91.345635	-91.345635
ARPO_InvPla_106	34.013893	34.013893	-91.343444	-91.343444
ARPO_InvPla_84	34.019769	34.019769	-91.350744	-91.350744
ARPO_InvPla_83	34.019639	34.019639	-91.351693	-91.351693
ARPO_InvPla_82	34.019511	34.019511	-91.352664	-91.352664
ARPO_InvPla_145	33.981248	33.981248	-91.265879	-91.265879
ARPO_InvPla_152	33.981237	33.981237	-91.257517	-91.257517
ARPO_InvPla_154	33.980542	33.980542	-91.266254	-91.266254
ARPO_InvPla_115	34.010808	34.010808	-91.34236	-91.34236
ARPO_InvPla_97	34.018273	34.018273	-91.351823	-91.351823
ARPO_InvPla_40	34.023839	34.023839	-91.349643	-91.349643
ARPO_InvPla_111	34.012357	34.012357	-91.343974	-91.343974
ARPO_InvPla_110	34.012441	34.012441	-91.342129	-91.342129
ARPO_InvPla_169	33.979119	33.979119	-91.266612	-91.266612
ARPO_InvPla_39	34.023897	34.023897	-91.350711	-91.350711
ARPO_InvPla_31	34.025045	34.025045	-91.339876	-91.339876
ARPO_InvPla_124	33.984544	33.984544	-91.264321	-91.264321
ARPO_InvPla_144	33.982048	33.982048	-91.257506	-91.257506
ARPO_InvPla_38	34.024374	34.024374	-91.340906	-91.340906
ARPO_InvPla_36	34.024611	34.024611	-91.343285	-91.343285
ARPO_InvPla_2	34.026971	34.026971	-91.347631	-91.347631
ARPO_InvPla_5	34.026928	34.026928	-91.344708	-91.344708
ARPO_InvPla_53	34.022058	34.022058	-91.351549	-91.351549
ARPO_InvPla_52	34.022934	34.022934	-91.344664	-91.344664
ARPO_InvPla_136	33.982867	33.982867	-91.258431	-91.258431
ARPO_InvPla_139	33.982118	33.982118	-91.262349	-91.262349
ARPO_InvPla_132	33.982808	33.982808	-91.26227	-91.26227
ARPO_InvPla_133	33.982818	33.982818	-91.261297	-91.261297
ARPO_InvPla_135	33.982809	33.982809	-91.259441	-91.259441
ARPO_InvPla_45	34.023687	34.023687	-91.344937	-91.344937
ARPO_InvPla_140	33.982104	33.982104	-91.261375	-91.261375
ARPO_InvPla_130	33.983575	33.983575	-91.257707	-91.257707
ARPO_InvPla_138	33.982109	33.982109	-91.263398	-91.263398
ARPO_InvPla_4	34.026942	34.026942	-91.345682	-91.345682
ARPO_InvPla_60	34.022067	34.022067	-91.344802	-91.344802
ARPO_InvPla_62	34.021263	34.021263	-91.352465	-91.352465
ARPO_InvPla_89	34.019647	34.019647	-91.345824	-91.345824
ARPO_InvPla_57	34.022107	34.022107	-91.347725	-91.347725
ARPO_InvPla_12	34.026175	34.026175	-91.34862	-91.34862
ARPO_InvPla_7	34.026877	34.026877	-91.342778	-91.342778
ARPO_InvPla_44	34.023703	34.023703	-91.345745	-91.345745
ARPO_InvPla_147	33.981307	33.981307	-91.262365	-91.262365
ARPO_InvPla_46	34.022928	34.022928	-91.350601	-91.350601
ARPO_InvPla_3	34.026956	34.026956	-91.346657	-91.346657
ARPO_InvPla_47	34.022944	34.022944	-91.349657	-91.349657
ARPO_InvPla_48	34.022931	34.022931	-91.348683	-91.348683
ARPO_InvPla_58	34.022094	34.022094	-91.346751	-91.346751
ARPO_InvPla_59	34.022081	34.022081	-91.345777	-91.345777
ARPO_InvPla_96	34.018837	34.018837	-91.345838	-91.345838
ARPO_InvPla_18	34.026097	34.026097	-91.342775	-91.342775
ARPO_InvPla_28	34.025286	34.025286	-91.342791	-91.342791
ARPO_InvPla_87	34.019673	34.019673	-91.347772	-91.347772
ARPO_InvPla_112	34.012308	34.012308	-91.343043	-91.343043
ARPO_InvPla_137	33.982846	33.982846	-91.257512	-91.257512
ARPO_InvPla_20	34.025983	34.025983	-91.340829	-91.340829
ARPO_InvPla_21	34.025974	34.025974	-91.339803	-91.339803
ARPO_InvPla_103	34.017276	34.017276	-91.349643	-91.349643
ARPO_InvPla_43	34.023716	34.023716	-91.346719	-91.346719
EFMO_InvPla_39	43.099982	43.099982	-91.207208	-91.207208
EFMO_InvPla_40	43.0997	43.0997	-91.204781	-91.204781
EFMO_InvPla_41	43.099419	43.099419	-91.202354	-91.202354
EFMO_InvPla_42	43.099138	43.099138	-91.199927	-91.199927
EFMO_InvPla_43	43.098854	43.098854	-91.197763	-91.197763
EFMO_InvPla_56	43.097064	43.097064	-91.19794	-91.19794
EFMO_InvPla_55	43.097361	43.097361	-91.20031	-91.20031
EFMO_InvPla_54	43.097641	43.097641	-91.202738	-91.202738
EFMO_InvPla_53	43.097921	43.097921	-91.205164	-91.205164
EFMO_InvPla_52	43.098202	43.098202	-91.207591	-91.207591
EFMO_InvPla_51	43.098483	43.098483	-91.210018	-91.210018
EFMO_InvPla_50	43.098763	43.098763	-91.212445	-91.212445
EFMO_InvPla_49	43.099043	43.099043	-91.214872	-91.214872
EFMO_InvPla_146	43.092367	43.092367	-91.235445	-91.235445
EFMO_InvPla_147	43.092115	43.092115	-91.233774	-91.233774
EFMO_InvPla_148	43.091834	43.091834	-91.231347	-91.231347
EFMO_InvPla_149	43.091554	43.091554	-91.22892	-91.22892
EFMO_InvPla_105	43.094551	43.094551	-91.223301	-91.223301
EFMO_InvPla_106	43.09427	43.09427	-91.220875	-91.220875
ARPO_InvPla_98	34.01809	34.01809	-91.350725	-91.350725
ARPO_InvPla_30	34.025259	34.025259	-91.340843	-91.340843
ARPO_InvPla_118	33.985984	33.985984	-91.259574	-91.259574
ARPO_InvPla_99	34.018077	34.018077	-91.349751	-91.349751
ARPO_InvPla_125	33.984564	33.984564	-91.263273	-91.263273
ARPO_InvPla_35	34.024518	34.024518	-91.344797	-91.344797
ARPO_InvPla_33	34.024527	34.024527	-91.346703	-91.346703
ARPO_InvPla_37	34.024251	34.024251	-91.341738	-91.341738
ARPO_InvPla_55	34.022133	34.022133	-91.349673	-91.349673
ARPO_InvPla_56	34.02212	34.02212	-91.348699	-91.348699
ARPO_InvPla_131	33.982953	33.982953	-91.263711	-91.263711
