geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
1795	37.10822144	37.10822144	-93.39866977	-93.39866977
1796	37.10777243	37.10777243	-93.39893742	-93.39893742
1797	37.10772045	37.10772045	-93.39896797	-93.39896797
1798	37.09320237	37.09320237	-93.4034523	-93.4034523
1799	37.09156441	37.09156441	-93.40462937	-93.40462937
1800	37.09153007	37.09153007	-93.40470943	-93.40470943
1801	37.09136426	37.09136426	-93.40532871	-93.40532871
1802	37.09137357	37.09137357	-93.4059094	-93.4059094
1803	37.09155738	37.09155738	-93.40652086	-93.40652086
1804	37.09218742	37.09218742	-93.40721726	-93.40721726
1805	37.10654609	37.10654609	-93.41609551	-93.41609551
1806	37.10694041	37.10694041	-93.41608322	-93.41608322
1807	37.11702565	37.11702565	-93.40845463	-93.40845463
1808	37.11656655	37.11656655	-93.40744454	-93.40744454
1809	37.11653285	37.11653285	-93.40739171	-93.40739171
1810	37.10886028	37.10886028	-93.39846659	-93.39846659
1811	37.10800636	37.10800636	-93.39877924	-93.39877924
1812	37.0970935	37.0970935	-93.40402674	-93.40402674
1813	37.09227145	37.09227145	-93.40352828	-93.40352828
1814	37.09155167	37.09155167	-93.40467212	-93.40467212
1815	37.09141832	37.09141832	-93.40502435	-93.40502435
1816	37.0915994	37.0915994	-93.40659075	-93.40659075
1817	37.09222861	37.09222861	-93.40723587	-93.40723587
1818	37.11694053	37.11694053	-93.40813766	-93.40813766
1819	37.11646711	37.11646711	-93.40727995	-93.40727995
1820	37.10868772	37.10868772	-93.3984962	-93.3984962
1821	37.10760394	37.10760394	-93.39903003	-93.39903003
1822	37.09702538	37.09702538	-93.40401656	-93.40401656
1823	37.09424407	37.09424407	-93.40361212	-93.40361212
1824	37.09194876	37.09194876	-93.40384175	-93.40384175
1825	37.0915815	37.0915815	-93.40460893	-93.40460893
1826	37.09147739	37.09147739	-93.40485913	-93.40485913
1827	37.09179762	37.09179762	-93.40686888	-93.40686888
1828	37.09223739	37.09223739	-93.40723516	-93.40723516
1829	37.09775894	37.09775894	-93.41154713	-93.41154713
1830	37.11502307	37.11502307	-93.40244627	-93.40244627
1831	37.10912355	37.10912355	-93.39844755	-93.39844755
1832	37.10517484	37.10517484	-93.40095735	-93.40095735
1833	37.10474101	37.10474101	-93.40134945	-93.40134945
1834	37.09450167	37.09450167	-93.40365291	-93.40365291
1835	37.09426012	37.09426012	-93.40361642	-93.40361642
1836	37.09208164	37.09208164	-93.40368409	-93.40368409
1837	37.0986734	37.0986734	-93.41308312	-93.41308312
1838	37.10827816	37.10827816	-93.41677399	-93.41677399
1839	37.10889544	37.10889544	-93.41748967	-93.41748967
1840	37.11001268	37.11001268	-93.39882744	-93.39882744
1841	37.09232861	37.09232861	-93.4035015	-93.4035015
1842	37.10807813	37.10807813	-93.41657199	-93.41657199
1843	37.10974355	37.10974355	-93.41784492	-93.41784492
1844	37.09221769	37.09221769	-93.40356869	-93.40356869
1845	37.09811629	37.09811629	-93.41185439	-93.41185439
1846	37.10973432	37.10973432	-93.41784757	-93.41784757
1847	37.11648092	37.11648092	-93.40731146	-93.40731146
1848	37.10672191	37.10672191	-93.39956985	-93.39956985
1849	37.09770697	37.09770697	-93.40411673	-93.40411673
1850	37.09448868	37.09448868	-93.40364402	-93.40364402
1851	37.09189441	37.09189441	-93.40391203	-93.40391203
1852	37.11621575	37.11621575	-93.41332358	-93.41332358
1853	37.11604822	37.11604822	-93.41298283	-93.41298283
1854	37.10533824	37.10533824	-93.4008032	-93.4008032
1855	37.10504881	37.10504881	-93.40106126	-93.40106126
1856	37.09796455	37.09796455	-93.40415257	-93.40415257
1857	37.11663327	37.11663327	-93.41568514	-93.41568514
