ParkName,ParkCode,LocationID,PeriodID,EventID,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,9,24.00,76.00,0.80,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,10,27.00,69.00,0.78,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,11,30.00,64.00,0.82,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,12,33.00,44.00,0.65,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,13,36.00,22.00,0.42,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,14,39.00,22.00,0.46,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,15,42.00,20.00,0.33,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,16,45.00,6.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,17,48.00,10.00,0.04,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,18,51.00,14.00,0.17,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,19,54.00,12.00,0.20,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,2,1.00,10.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,3,2.00,15.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,4,3.00,18.00,0.27,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,5,4.00,20.00,0.16,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,6,5.00,16.00,0.21,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,7,6.00,18.00,0.20,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,8,7.00,17.00,0.21,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,9,8.00,20.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,10,9.00,34.00,0.14,
Buffalo National River,BUFF,BUFFRMINVEBT30,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,11,10.00,38.00,0.04,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,2,1.00,64.00,0.08,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,3,2.00,60.00,0.11,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,4,3.00,58.00,0.17,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,5,4.00,50.00,0.21,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,6,5.00,42.00,0.20,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,7,6.00,40.00,0.05,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,8,7.00,38.00,0.03,
Buffalo National River,BUFF,BUFFRMINVEBT31,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB20,9,8.00,30.00,0.00,
