TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
HYDPHY,113196,Hydrobius,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,Pr,Predators
SCIR,113924,Scirtidae,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,C,Collectors
SCIR,113924,Scirtidae,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,Sh,Shredders
SCIR,113924,Scirtidae,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,He,Herbivores
SCIR,113924,Scirtidae,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,Sc,Scrapers
SCIRSC,113929,Scirtes,Arthropoda,Insecta,Coleoptera,Scirtidae,,Scirtes,,Sh,Shredders
DRYOHE,114006,Helichus,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,C,Collectors
DRYOHE,114006,Helichus,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,Sh,Shredders
PSEPPS,114070,Psephenus,Arthropoda,Insecta,Coleoptera,Psephenidae,,Psephenus,2.5,Sc,Scrapers
PSEPEC,114087,Ectopria,Arthropoda,Insecta,Coleoptera,Psephenidae,,Ectopria,4.3,Sc,Scrapers
ELMI,114093,Elmidae,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,C,Collectors
ELMI,114093,Elmidae,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sh,Shredders
ELMI,114093,Elmidae,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sc,Scrapers
ELMIST,114095,Stenelmis,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,C,Collectors
ELMIST,114095,Stenelmis,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,Sc,Scrapers
ELMIDU,114126,Dubiraphia,Arthropoda,Insecta,Coleoptera,Elmidae,,Dubiraphia,6.4,C,Collectors
ELMIMI,114146,Microcylloepus,Arthropoda,Insecta,Coleoptera,Elmidae,,Microcylloepus,2.1,C,Collectors
ELMIOP,114177,Optioservus,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,C,Collectors
ELMIOP,114177,Optioservus,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,Sh,Shredders
ELMIAN,114193,Ancyronyx,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,C,Collectors
ELMIAN,114193,Ancyronyx,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,Sc,Scrapers
ELMIMA,114212,Macronychus,Arthropoda,Insecta,Coleoptera,Elmidae,,Macronychus,4.7,C,Collectors
MEGA,115000,Megaloptera,Arthropoda,Insecta,Megaloptera,,,,3.6,Pr,Predators
SIALSI,115002,Sialis,Arthropoda,Insecta,Megaloptera,Sialidae,,Sialis,7.4,Pr,Predators
CORYCH,115024,Chauliodes,Arthropoda,Insecta,Megaloptera,Corydalidae,,Chauliodes,4,Pr,Predators
CORYNI,115028,Nigronia,Arthropoda,Insecta,Megaloptera,Corydalidae,,Nigronia,5.8,Pr,Predators
CORYCO,115033,Corydalus,Arthropoda,Insecta,Megaloptera,Corydalidae,,Corydalus,5.6,Pr,Predators
SISYCL,115086,Climacia,Arthropoda,Insecta,Neuroptera,Sisyridae,,Climacia,6.5,Pr,Predators
SISYSI,115090,Sisyra,Arthropoda,Insecta,Neuroptera,Sisyridae,,Sisyra,,Pr,Predators
RHYARH,115097,Rhyacophila,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,,Rhyacophila,0,Pr,Predators
GLOSPR,115221,Protoptila,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Protoptila,2.8,Sc,Scrapers
PHILWO,115258,Wormaldia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,Wormaldia,0.4,F,Filterers
PHILCH,115273,Chimarra,Arthropoda,Insecta,Trichoptera,Philopotamidae,,Chimarra,2.8,F,Filterers
PSYHPS,115335,Psychomyia,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Psychomyia,2.6,C,Collectors
PSYHPS,115335,Psychomyia,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Psychomyia,2.6,Sc,Scrapers
POLYCE,115373,Cernotina,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Cernotina,1.2,Pr,Predators
PSYHPA,115388,Paduniella,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Paduniella,0,C,Collectors
PSYHPA,115388,Paduniella,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Paduniella,0,Sc,Scrapers
PSYHLYD,115391,Lype,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Lype,4.3,C,Collectors
HYDSDI,115399,Diplectrona,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Diplectrona,2.2,F,Filterers
HYDSCH,115408,Cheumatopsyche,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Cheumatopsyche,6.6,F,Filterers
HYDSHY,115453,Hydropsyche,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Hydropsyche,8.1,F,Filterers
