ParkName,ParkCode,Season,LocationID,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,DETimeStamp
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,6,15,40,0.6,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,7,18,38,0.51,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,8,21,49,0.57,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,9,24,38,0.57,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,10,27,38,0.71,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT09,BUFFRMINVE2007JAN09,meters,11,30,28,0.42,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,2,0.5,32,0.07,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,3,1,60,0.05,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,4,1.5,64,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,5,2,60,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,6,2.5,54,0.14,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,7,3,53,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,8,3.5,51,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,9,4,52,0.15,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,10,4.5,49,0.18,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,11,5,42,0.21,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,12,5.5,38,0.22,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,13,6,32,0.14,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,14,6.5,28,0.17,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,15,7,18,0.04,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,16,7.5,10,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT22,BUFFRMINVE2007JAN05,meters,17,8,2,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBT24,BUFFRMINVE2007JAN05,meters,1,0,0,0,,10/5/2020 11:46
