ParkName,ParkCode,Season,LocationID,EventID,Units,GaugeSiteNo,GaugeLocation,Discharge_cms,Comments,DETimeStamp
Ozark National Scenic Riverways - RIVERS,OZAR,2020,OZARRMINVEJM03,OZARRMINVE2020Nov30,meters,7065200,"Jacks Fork near Mountain View, MO ",4.5,,2/28/2023 8:30
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM01,OZARRMINVE2022Oct27,meters,7064440,"Current River at Montauk State Park, MO ",2.83,,10/4/2023 11:57
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM02,OZARRMINVE2022Oct27,meters,7064533,"Current River above Akers, MO ",7.36,,10/4/2023 12:56
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM03,OZARRMINVE2022Oct27,meters,7064533,"Current River above Akers, MO ",7.22,,10/5/2023 8:04
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM04,OZARRMINVE2022Oct28,meters,7067000,"Current River at Van Buren, MO ",32.56,,10/5/2023 10:15
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM05,OZARRMINVE2022Nov03,meters,7067000,"Current River at Van Buren, MO ",30.58,,10/5/2023 11:01
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVECM06,OZARRMINVE2022Nov04,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",40.38,,10/5/2023 12:00
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVEJM01,OZARRMINVE2022Oct25,meters,7065200,"Jacks Fork near Mountain View, MO ",1.8,,10/6/2023 10:51
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVEJM02,OZARRMINVE2022Oct25,meters,7065200,"Jacks Fork near Mountain View, MO ",1.95,,10/6/2023 11:56
Ozark National Scenic Riverways - RIVERS,OZAR,2022,OZARRMINVEJM03,OZARRMINVE2022Oct26,meters,7065200,"Jacks Fork near Mountain View, MO ",2.02,,10/6/2023 12:40
